Year,PERIODO ,SUCRE,LA PAZ,COCHABAMBA,ORURO,TARIJA,SANTA CRUZ ,TRINIDAD,COBIJA,EL ALTO ,SUCRE
1990,Enero ,15.9,11.6,19.2,11.6,20.8,25.9,26,25.5,8,15.9
1990,Febrero,,,,,19.8,26.4,27.4,25.7,8.3,15.1
1990,Marzo,14.2,14.2,19.6,10.3,21.2,26.8,26.9,26.2,8.8,12.5
1990,Abril,16.3,11.8,18.2,9.1,20.4,25.6,26.4,26,8.5,16.3
1990,Mayo,14.1,10.7,,6.1,16.2,21.5,23.4,24.8,12.5,15
1990,Junio,12.3,8.4,13.4,,12.7,19.4,24.6,23.3,4.5,12.3
1990,Julio,10.9,8.4,13,8.6,,18.4,22.5,22.3,12.5,10.9
1990,Agosto,13.4,14.2,15.7,,15.8,22.7,12.5,25,5.7,13.4
1990,Septiembre,14.1,10.7,17.2,6.2,15.6,22.6,24.6,24.5,7.5,14.1
1990,Octubre,16.2,12.1,19.4,,21.1,26.6,27.5,26.6,8.6,16.2
1990,Noviembre,16.7,12.3,14.2,12.2,21.9,26.8,27.8,26.3,9.1,16.7
1990,Diciembre,17,12.6,19.9,11.9,21.3,26.3,27,25.7,9.1,17
1991,Enero ,16.5,12.3,19.2,,20.8,26.2,26.4,26.1,12.5,16.5
1991,Febrero,15.9,13,19.7,7.7,19.8,26.1,26.6,26.3,9.4,15.9
1991,Marzo,15.8,11.1,19.5,11.7,20.2,26.4,27.8,26.3,8.8,15.8
1991,Abril,15.8,10.9,17.9,,19.4,,26.5,26,7.9,15.8
1991,Mayo,15.4,10.8,16,5.4,12.5,23.7,23.8,25.4,12.5,15.4
1991,Junio,12.9,8.6,13.8,2.7,13.7,21.2,21.7,24.2,4.7,12.9
1991,Julio,13.2,8.4,13.5,2.4,13.6,20.4,12.5,23,5.2,13.2
1991,Agosto,13.4,9.1,15.7,5.2,14.8,22.3,23.4,23.4,5.9,13.4
1991,Septiembre,14.5,12.5,17,6.7,18.6,,12.5,25.6,6.8,14.5
1991,Octubre,15.9,11.3,19.8,12.5,12.5,25.1,27,25.8,8.4,15.9
1991,Noviembre,16.5,11.8,20,10.3,19.5,25.7,27,25.8,12.5,16.5
1991,Diciembre,17.8,12.8,21.4,11,22.1,26.3,27.3,26.1,9.2,17.8
1992,Enero ,15.5,11.6,19.1,11.3,20.3,27,26.6,26.1,8.3,15.5
1992,Febrero,15.8,12.2,19,11.5,,25.7,27.8,25.9,8.9,15.8
1992,Marzo,15.3,12.6,18.8,10.6,,12.5,28,26.1,8.9,15.3
1992,Abril,15.6,12,18.4,8.1,18.6,23.8,26.8,25.9,8.5,15.6
1992,Mayo,16,11.6,16.6,5.8,16.8,22.1,26,26.6,7.8,16
